name,n,dimension,year
Brahe mars data,929,3,1582
Human genome,1,3.00E+09,2007
Fisher's iris data,150,5,1936
Michelson data,100,1,1879
Cavendish data,29,1,1797
Netflix Prize data,480189,17770,2006
1000 Genomes,1700,3.00E+09,2014
MNIST,70000,400,2012
Hipparcos star dataset,117955,77,1989
E. coli genome,1,4.60E+06,1997
1790 U.S. Census,3929214,6,1790
1800 U.S. Census,5308483,6,1800
1810 U.S. Census,7239881,7,1810
1820 U.S. Census,9638453,7,1820
1830 U.S. Census,12860702,12,1830
1840 U.S. Census,17063353,12,1840
1850 U.S. Census,23191876,13,1850
1860 U.S. Census,31443321,14,1860
1870 U.S. Census,38558371,20,1870
1880 U.S. Census,50189209,26,1880
1890 U.S. Census,62979766,30,1890
1900 U.S. Census,76212168,28,1900
1910 U.S. Census,92228496,32,1910
1920 U.S. Census,106021537,34,1920
1930 U.S. Census,123202624,34,1930
1940 U.S. Census,132164569,50,1940
1950 U.S. Census,151325798,38,1950
1960 U.S. Census,179323175,46,1960
1970 U.S. Census,203302031,30,1970
1980 U.S. Census,226542199,52,1980
1990 U.S. Census,248709873,58,1990
2000 U.S. Census,281421906,52,2000
2010 U.S. Census,308745538,10,2010
